Tanggal,M1,M2,Inflasi
12/1/2022,2608797,8528022,0.66
11/1/2022,2467951,8297350,0.09
10/1/2022,2539067.31,8223055.02,-0.11
9/1/2022,2320882.57,7962693.36,1.17
8/1/2022,2279163.49,7897628.21,-0.21
7/1/2022,2296045.42,7845551.91,0.64
6/1/2022,2339449.79,7890747.01,0.61
5/1/2022,2302911.17,7854186.71,0.4
4/1/2022,2327208.49,7911484.49,0.95
3/1/2022,2254591,7810949.32,0.66
2/1/2022,2195617.78,7690134.5,-0.02
1/1/2022,2149551.5,7646789.19,0.56
12/1/2021,2282200.26,7870452.85,0.57
11/1/2021,2114703.09,7573319.9,0.37
10/1/2021,2071417.83,7491704.38,0.12
9/1/2021,1968434.37,7300920.64,-0.04
8/1/2021,1938389.63,7211500.72,0.03
7/1/2021,1933291.47,7160560.33,0.08
6/1/2021,1915429.33,7130061.42,-0.16
5/1/2021,1861766.9,7004093.08,0.32
4/1/2021,1850950.91,6964386.49,0.13
3/1/2021,1827391.16,6895564.12,0.08
2/1/2021,1784763.23,6817787.91,0.1
1/1/2021,1762295.71,6767407.65,0.26
12/1/2020,1855692.57,6905939.3,0.45
11/1/2020,1799007.5,6821198.06,0.28
10/1/2020,1782220.95,6782146.98,0.07
9/1/2020,1780692.49,6748814.34,-0.05
8/1/2020,1765210.74,6730993.74,-0.05
7/1/2020,1683270.19,6566671.34,-0.1
6/1/2020,1637724.85,6391611.86,0.18
5/1/2020,1653528.84,6465361.63,0.07
4/1/2020,1576444.33,6236651.02,0.08
3/1/2020,1648727.77,6441495.23,0.1
2/1/2020,1505491.28,6118513.75,0.28
1/1/2020,1484500.12,6047998.56,0.39
12/1/2019,1565439.34,6136776.54,0.34
11/1/2019,1553134.22,6074377.02,0.14
10/1/2019,1504156.28,6026908.5,0.02
9/1/2019,1508817.97,6004277.17,-0.27
8/1/2019,1475544.35,5934561.51,0.12
7/1/2019,1487801.78,5941133.1,0.31
6/1/2019,1513519.72,5908509.27,0.55
5/1/2019,1508039.89,5860508.75,0.68
4/1/2019,1454278.57,5746731.77,0.44
3/1/2019,1428606.53,5747246.82,0.11
2/1/2019,1386329.31,5670777.57,-0.08
1/1/2019,1376135.53,5644985.17,0.32
12/1/2018,1457149.68,5760046.2,0.62
11/1/2018,1405263.84,5670975.24,0.27
10/1/2018,1410577.6,5667512.1,0.28
9/1/2018,1411672.64,5606779.89,-0.18
8/1/2018,1384264.85,5529451.81,-0.05
7/1/2018,1383502.62,5507791.75,0.28
6/1/2018,1452354.45,5534149.83,0.59
5/1/2018,1404627.09,5435082.93,0.21
4/1/2018,1372576.15,5409088.81,0.1
3/1/2018,1361135.48,5395826.04,0.2
2/1/2018,1351258,5351650.33,0.17
1/1/2018,1326741.99,5351684.67,0.62
12/1/2017,1390806.95,5419165.05,0.71
11/1/2017,1338143.33,5321431.77,0.2
10/1/2017,1325762.33,5284320.16,0.01
9/1/2017,1304373.83,5254138.51,0.13
8/1/2017,1274803.26,5219647.63,-0.07
7/1/2017,1293234.84,5178078.75,0.22
6/1/2017,1341851.26,5225165.76,0.69
5/1/2017,1275892.5,5126370.15,0.39
4/1/2017,1245927.39,5033780.29,0.09
3/1/2017,1215856.68,5017643.55,-0.02
2/1/2017,1196036.61,4942919.76,0.23
1/1/2017,1191499.69,4936881.99,0.97
